date ,volume
"fev 03, 1995",6662
"fev 10, 1995",6595
"fev 17, 1995",6613
"fev 24, 1995",6546
"mar 03, 1995",6660
"mar 10, 1995",6598
"mar 17, 1995",6632
"mar 24, 1995",6474
"mar 31, 1995",6380
"abr 07, 1995",6554
"abr 14, 1995",6597
"abr 21, 1995",6603
"abr 28, 1995",6539
"mai 05, 1995",6604
"mai 12, 1995",6610
"mai 19, 1995",6598
"mai 26, 1995",6626
"jun 02, 1995",6592
"jun 09, 1995",6593
"jun 16, 1995",6560
"jun 23, 1995",6529
"jun 30, 1995",6545
"jul 07, 1995",6518
"jul 14, 1995",6448
"jul 21, 1995",6417
"jul 28, 1995",6484
"ago 04, 1995",6444
"ago 11, 1995",6476
"ago 18, 1995",6475
"ago 25, 1995",6483
"set 01, 1995",6507
"set 08, 1995",6491
"set 15, 1995",6248
"set 22, 1995",6414
"set 29, 1995",6450
"out 06, 1995",6215
"out 13, 1995",6404
"out 20, 1995",6497
"out 27, 1995",6512
"nov 03, 1995",6539
"nov 10, 1995",6516
"nov 17, 1995",6493
"nov 24, 1995",6484
"dez 01, 1995",6450
"dez 08, 1995",6428
"dez 15, 1995",6411
"dez 22, 1995",6467
"dez 29, 1995",6474
"jan 05, 1996",6464
"jan 12, 1996",6498
"jan 19, 1996",6516
"jan 26, 1996",6405
"fev 02, 1996",6413
"fev 09, 1996",6505
"fev 16, 1996",6511
"fev 23, 1996",6501
"mar 01, 1996",6496
"mar 08, 1996",6461
"mar 15, 1996",6490
"mar 22, 1996",6473
"mar 29, 1996",6440
"abr 05, 1996",6441
"abr 12, 1996",6390
"abr 19, 1996",6425
"abr 26, 1996",6173
"mai 03, 1996",6454
"mai 10, 1996",6065
"mai 17, 1996",6363
"mai 24, 1996",6412
"mai 31, 1996",6392
"jun 07, 1996",6421
"jun 14, 1996",6515
"jun 21, 1996",6452
"jun 28, 1996",6489
"jul 05, 1996",6499
"jul 12, 1996",6499
"jul 19, 1996",6345
"jul 26, 1996",6394
"ago 02, 1996",6297
"ago 09, 1996",6286
"ago 16, 1996",6445
"ago 23, 1996",6481
"ago 30, 1996",6526
"set 06, 1996",6497
"set 13, 1996",6498
"set 20, 1996",6467
"set 27, 1996",6520
"out 04, 1996",6485
"out 11, 1996",6485
"out 18, 1996",6523
"out 25, 1996",6514
"nov 01, 1996",6513
"nov 08, 1996",6541
"nov 15, 1996",6531
"nov 22, 1996",6512
"nov 29, 1996",6538
"dez 06, 1996",6534
"dez 13, 1996",6518
"dez 20, 1996",6523
"dez 27, 1996",6506
"jan 03, 1997",6454
"jan 10, 1997",6499
"jan 17, 1997",6476
"jan 24, 1997",6513
"jan 31, 1997",6505
"fev 07, 1997",6483
"fev 14, 1997",6502
"fev 21, 1997",6496
